Date,Price,Open,High,Low,Vol.,Change %
2018-05-31,"30,468.56","30,274.18","30,533.58","30,148.43",4.24B,1.37%
2018-05-30,"30,056.79","30,109.37","30,241.23","29,964.34",2.48B,-1.40%
2018-05-29,"30,484.58","30,647.26","30,713.32","30,454.18",1.71B,-1.00%
2018-05-28,"30,792.26","30,759.84","30,839.30","30,530.47",1.79B,0.67%
2018-05-25,"30,588.04","30,664.27","30,736.97","30,525.74",1.73B,-0.56%
2018-05-24,"30,760.41","30,718.66","30,788.97","30,589.38",1.63B,0.31%
2018-05-23,"30,665.64","31,191.87","31,191.87","30,665.64",2.51B,-1.82%
2018-05-21,"31,234.35","31,232.79","31,464.10","31,232.79",1.65B,0.60%
2018-05-18,"31,047.91","31,033.97","31,148.06","30,904.68",1.78B,0.34%
2018-05-17,"30,942.15","31,416.71","31,416.71","30,942.15",1.55B,-0.54%
2018-05-16,"31,110.20","31,014.72","31,218.08","30,818.78",1.39B,-0.13%
2018-05-15,"31,152.03","31,573.18","31,573.18","31,152.03",1.62B,-1.23%
2018-05-14,"31,541.08","31,498.36","31,592.56","31,423.57",1.85B,1.35%
2018-05-11,"31,122.06","31,151.80","31,277.39","31,032.44",1.68B,1.02%
2018-05-10,"30,809.22","30,716.97","30,851.30","30,712.93",1.58B,0.89%
2018-05-09,"30,536.14","30,452.16","30,568.76","30,346.62",1.40B,0.44%
2018-05-08,"30,402.81","30,123.77","30,444.22","30,123.77",1.67B,1.36%
2018-05-07,"29,994.26","30,102.06","30,138.33","29,791.87",1.49B,0.23%
2018-05-04,"29,926.50","30,316.98","30,341.46","29,859.30",1.81B,-1.28%
2018-05-03,"30,313.37","30,405.48","30,432.07","30,118.65",1.79B,-1.34%
2018-05-02,"30,723.88","30,782.21","30,824.77","30,570.81",1.69B,-0.27%
2018-04-30,"30,808.45","30,530.40","30,853.13","30,483.91",1.98B,1.74%
2018-04-27,"30,280.67","30,300.83","30,336.00","30,019.12",1.66B,0.91%
2018-04-26,"30,007.68","30,378.15","30,463.42","29,871.20",1.82B,-1.06%
2018-04-25,"30,328.15","30,486.86","30,507.19","30,244.16",1.73B,-1.01%
2018-04-24,"30,636.24","30,353.83","30,665.10","30,335.29",1.80B,1.26%
2018-04-23,"30,254.40","30,327.03","30,481.86","30,184.45",1.56B,-0.54%
2018-04-20,"30,418.33","30,647.94","30,848.47","30,355.79",1.71B,-0.94%
2018-04-19,"30,708.44","30,532.95","30,761.47","30,451.00",2.29B,1.40%
2018-04-18,"30,284.25","30,469.95","30,487.17","29,979.40",2.06B,0.74%
2018-04-17,"30,062.75","30,354.89","30,477.79","30,012.70",1.98B,-0.83%
2018-04-16,"30,315.59","30,849.72","30,849.72","30,190.75",1.88B,-1.60%
2018-04-13,"30,808.38","31,076.76","31,076.76","30,707.77",1.45B,-0.07%
2018-04-12,"30,831.28","31,094.11","31,094.11","30,637.14",1.81B,-0.22%
2018-04-11,"30,897.71","30,761.23","31,021.12","30,723.07",2.36B,0.55%
2018-04-10,"30,728.74","30,205.09","30,806.86","30,163.09",2.34B,1.65%
2018-04-09,"30,229.58","30,104.32","30,514.80","29,909.37",1.90B,1.29%
2018-04-06,"29,844.94","29,750.24","29,980.56","29,608.33",1.75B,1.11%
2018-04-04,"29,518.69","30,244.22","30,329.08","29,518.69",1.87B,-2.19%
2018-04-03,"30,180.10","29,927.88","30,269.28","29,755.36",1.97B,0.29%
2018-03-29,"30,093.38","30,154.18","30,252.95","29,819.63",2.23B,0.24%
2018-03-28,"30,022.53","30,510.38","30,637.21","30,022.53",2.28B,-2.50%
2018-03-27,"30,790.83","30,985.75","30,985.75","30,738.76",2.11B,0.79%
2018-03-26,"30,548.77","30,267.07","30,548.77","29,995.16",2.39B,0.79%
2018-03-23,"30,309.29","29,930.23","30,320.31","29,930.23",3.63B,-2.45%
2018-03-22,"31,071.05","31,575.93","31,686.67","31,018.44",2.17B,-1.09%
2018-03-21,"31,414.52","31,811.98","31,978.14","31,381.54",2.38B,-0.43%
2018-03-20,"31,549.93","31,315.42","31,576.05","31,183.40",1.80B,0.11%
2018-03-19,"31,513.76","31,370.47","31,656.30","31,244.62",1.49B,0.04%
2018-03-16,"31,501.97","31,363.03","31,564.78","31,337.45",2.42B,-0.12%
2018-03-15,"31,541.10","31,181.15","31,583.38","31,121.66",1.54B,0.34%
2018-03-14,"31,435.01","31,321.79","31,453.48","31,141.85",1.76B,-0.53%
2018-03-13,"31,601.45","31,570.20","31,709.99","31,461.47",2.18B,0.02%
2018-03-12,"31,594.33","31,536.30","31,607.58","31,342.48",2.24B,1.93%
