Date,Price,Open,High,Low,Vol.,Change %
2015-04-17,"3,785.49","3,850.90","3,862.20","3,779.73",17.23M,-1.92%
2015-04-16,"3,859.43","3,890.60","3,891.18","3,855.59",12.59M,-0.91%
2015-04-15,"3,895.02","3,894.11","3,903.65","3,883.82",12.77M,0.16%
2015-04-14,"3,888.86","3,895.30","3,910.33","3,872.85",13.56M,-0.36%
2015-04-13,"3,902.74","3,902.63","3,908.76","3,891.90",11.01M,-0.08%
2015-04-10,"3,905.71","3,880.44","3,905.71","3,879.02",14.13M,0.88%
2015-04-09,"3,871.66","3,839.76","3,871.66","3,838.29",12.38M,1.06%
2015-04-08,"3,831.09","3,838.39","3,853.02","3,827.79",14.57M,-0.21%
2015-04-07,"3,839.11","3,795.02","3,846.49","3,781.06",17.57M,1.74%
2015-04-02,"3,773.31","3,745.18","3,773.31","3,744.88",10.49M,0.82%
2015-04-01,"3,742.62","3,717.86","3,774.36","3,716.55",14.69M,0.45%
2015-03-31,"3,725.82","3,758.25","3,779.75","3,722.22",15.94M,-0.99%
2015-03-30,"3,762.90","3,724.49","3,765.86","3,716.01",14.00M,1.35%
2015-03-27,"3,712.81","3,712.35","3,734.07","3,700.82",12.23M,0.26%
2015-03-26,"3,703.13","3,716.39","3,721.47","3,668.25",16.33M,-1.12%
2015-03-25,"3,745.13","3,760.78","3,776.89","3,740.65",13.31M,-0.54%
2015-03-24,"3,765.41","3,739.19","3,773.56","3,733.86",13.40M,0.37%
2015-03-23,"3,751.58","3,763.38","3,763.38","3,730.62",13.45M,-0.38%
2015-03-20,"3,765.80","3,735.41","3,772.10","3,735.41",29.87M,0.84%
2015-03-19,"3,734.35","3,728.92","3,745.20","3,719.70",14.55M,0.17%
2015-03-18,"3,727.92","3,732.14","3,738.42","3,712.56",18.60M,-0.21%
2015-03-17,"3,735.88","3,781.00","3,786.10","3,719.56",22.14M,-0.92%
2015-03-16,"3,770.48","3,729.87","3,775.75","3,729.87",15.03M,1.13%
2015-03-13,"3,728.33","3,724.79","3,730.91","3,714.85",13.44M,0.33%
2015-03-12,"3,716.18","3,720.20","3,733.59","3,709.84",15.56M,-0.10%
2015-03-11,"3,719.78","3,677.42","3,724.41","3,675.54",15.01M,1.37%
2015-03-10,"3,669.46","3,707.63","3,719.53","3,669.46",15.48M,-1.19%
2015-03-09,"3,713.65","3,716.30","3,722.68","3,699.48",13.23M,-0.51%
2015-03-06,"3,732.58","3,725.59","3,753.48","3,722.90",14.34M,0.03%
2015-03-05,"3,731.38","3,700.95","3,735.71","3,697.22",13.56M,0.79%
2015-03-04,"3,702.16","3,674.66","3,702.16","3,669.37",14.97M,0.95%
2015-03-03,"3,667.25","3,713.41","3,720.95","3,665.27",16.30M,-1.24%
2015-03-02,"3,713.39","3,709.98","3,729.61","3,703.93",14.53M,-0.03%
2015-02-27,"3,714.44","3,700.29","3,714.44","3,681.23",19.70M,0.02%
2015-02-26,"3,713.84","3,674.50","3,713.84","3,673.58",15.55M,1.14%
2015-02-25,"3,672.08","3,668.35","3,688.95","3,660.57",13.65M,0.14%
2015-02-24,"3,666.80","3,660.39","3,670.44","3,637.66",19.44M,0.24%
2015-02-23,"3,658.12","3,647.92","3,658.12","3,640.33",11.58M,0.92%
2015-02-20,"3,624.70","3,612.98","3,624.70","3,600.43",14.38M,-0.01%
2015-02-19,"3,624.97","3,585.74","3,624.97","3,572.40",11.51M,0.81%
2015-02-18,"3,595.82","3,580.19","3,602.18","3,579.35",11.82M,0.62%
2015-02-17,"3,573.59","3,553.96","3,573.59","3,533.44",10.65M,0.31%
2015-02-16,"3,562.39","3,572.26","3,575.55","3,557.93",8.49M,-0.37%
