Date,Price,Open,High,Low,Vol.,Change %
2019-03-22,543.9,551.84,552.44,543.1,87.18M,-1.18%
2019-03-21,550.39,548.38,551.45,546.86,67.52M,0.54%
2019-03-20,547.42,551.31,552.07,547.42,71.76M,-0.95%
2019-03-19,552.65,552.38,555.55,552.11,66.91M,0.08%
2019-03-18,552.23,551.86,552.92,550.71,73.61M,0.01%
2019-03-15,552.18,544.61,552.53,544.42,198.89M,1.47%
2019-03-14,544.19,539.96,545.94,539.96,78.28M,0.91%
2019-03-13,539.26,534.34,540.04,534.27,74.71M,0.72%
2019-03-12,535.41,537.84,537.99,533.64,75.17M,0.01%
2019-03-11,535.38,533.11,535.9,531.84,70.13M,0.91%
2019-03-08,530.55,533.06,533.97,529.72,100.77M,-1.14%
2019-03-07,536.68,537.39,541.07,534.29,111.16M,-0.42%
2019-03-06,538.95,540.19,540.57,537.43,96.16M,-0.40%
2019-03-05,541.12,540.81,542.41,537.92,123.18M,0.06%
2019-03-04,540.77,540.71,542.83,539.55,65.41M,0.40%
2019-03-01,538.59,543.06,543.06,538.59,89.16M,-0.45%
2019-02-28,541.05,536.92,541.68,536.92,108.76M,0.14%
2019-02-27,540.29,540.99,541.12,537.76,87.50M,-0.53%
2019-02-26,543.18,540.66,544.05,538.53,69.38M,0.12%
2019-02-25,542.52,543.4,544.88,541.75,65.69M,0.21%
2019-02-22,541.37,540.08,543.03,539.81,62.06M,0.15%
2019-02-21,540.57,540.46,542.22,539.11,76.88M,0.10%
2019-02-20,540.03,539.2,540.47,536.19,67.27M,0.36%
2019-02-19,538.07,539.27,539.76,535.83,67.15M,-0.29%
2019-02-18,539.63,539.62,540.6,538.21,63.19M,0.00%
2019-02-15,539.62,533.72,541.27,533.13,110.61M,1.01%
2019-02-14,534.24,537.01,538.8,533.57,98.38M,-0.39%
2019-02-13,536.33,535.84,538.4,534.65,87.08M,0.37%
2019-02-12,534.35,535.18,535.58,533.44,74.71M,0.61%
2019-02-11,531.12,531.08,533.6,530.15,74.40M,0.59%
2019-02-08,527.99,529.58,530.92,526.69,96.27M,-0.47%
2019-02-07,530.5,535.5,538.6,530.5,98.56M,-1.14%
2019-02-06,536.63,532.19,537.28,532.19,115.17M,0.78%
2019-02-05,532.49,526.7,532.66,526.12,93.12M,1.30%
2019-02-04,525.68,523.59,525.68,523.11,94.15M,0.47%
2019-02-01,523.24,521.82,523.24,519.74,112.22M,0.50%
2019-01-31,520.63,520.15,521.02,516.47,192.71M,0.41%
2019-01-30,518.48,515.36,519.89,515.36,106.46M,0.68%
2019-01-29,515,512.14,517.44,510.93,78.92M,0.81%
2019-01-28,510.88,512.67,514.05,509.32,86.04M,-0.82%
2019-01-25,515.1,513.5,515.54,512.56,95.77M,0.98%
2019-01-24,510.08,507.5,511.53,506.94,81.93M,0.52%
2019-01-23,507.46,503.85,511.46,502.87,85.27M,0.14%
2019-01-22,506.75,506.91,508.89,504.62,70.67M,-0.61%
2019-01-21,509.88,508.84,510.61,508.6,47.91M,0.04%
2019-01-18,509.7,502.84,510.63,502.83,110.66M,1.97%
2019-01-17,499.84,497.89,500.56,496.88,72.98M,-0.01%
