Date,Price,Open,High,Low,Vol.,Change %
2017-08-10,"66,992","67,671","67,671","66,650",2.91M,-1.00%
2017-08-09,"67,671","67,894","67,894","67,290",2.56M,-0.34%
2017-08-08,"67,899","67,936","68,500","67,671",3.24M,-0.06%
2017-08-07,"67,940","66,898","68,043","66,887",3.09M,1.56%
2017-08-04,"66,898","66,783","67,104","66,525",2.44M,0.18%
2017-08-03,"66,777","67,136","67,256","66,705",2.81M,-0.53%
2017-08-02,"67,136","66,504","67,277","66,305",3.83M,0.93%
2017-08-01,"66,516","65,925","66,606","65,925",2.85M,0.90%
2017-07-31,"65,920","65,503","66,048","65,503",2.65M,0.65%
2017-07-28,"65,497","65,253","65,497","64,953",2.85M,0.34%
2017-07-27,"65,277","65,013","65,678","65,013",2.56M,0.41%
2017-07-26,"65,011","65,668","65,873","64,992",3.03M,-1.00%
2017-07-25,"65,668","65,101","65,749","65,101",2.82M,0.87%
2017-07-24,"65,100","64,695","65,104","64,678",1.97M,0.64%
2017-07-21,"64,684","64,936","65,150","64,599",2.21M,-0.39%
2017-07-20,"64,938","65,178","65,505","64,898",2.34M,-0.37%
2017-07-19,"65,180","65,337","65,604","64,874",2.70M,-0.24%
2017-07-18,"65,338","65,208","65,338","64,943",2.28M,0.19%
2017-07-17,"65,212","65,431","65,478","65,119",2.33M,-0.34%
2017-07-14,"65,436","65,178","65,624","65,178",2.80M,0.40%
2017-07-13,"65,178","64,854","65,302","64,854",3.22M,0.53%
2017-07-12,"64,836","63,840","64,938","63,827",4.24M,1.57%
2017-07-11,"63,832","63,027","63,891","62,908",2.65M,1.28%
2017-07-10,"63,025","62,322","63,135","62,322",2.29M,1.13%
2017-07-07,"62,322","62,474","62,926","62,035",2.98M,-0.24%
2017-07-06,"62,470","63,156","63,188","62,354",3.13M,-1.08%
2017-07-05,"63,154","63,215","63,485","62,708",3.27M,-0.12%
2017-07-04,"63,232","63,268","63,346","63,076",980.07K,-0.08%
2017-07-03,"63,280","62,901","63,338","62,901",2.15M,0.60%
2017-06-30,"62,900","62,238","63,038","62,238",2.77M,1.06%
2017-06-29,"62,239","62,010","62,499","61,689",3.01M,0.36%
2017-06-28,"62,018","61,684","62,057","61,433",2.80M,0.56%
2017-06-27,"61,675","62,188","62,424","61,580",3.38M,-0.82%
2017-06-26,"62,188","61,088","62,251","61,088",2.68M,1.80%
2017-06-23,"61,087","61,272","61,400","60,992",2.92M,-0.30%
2017-06-22,"61,272","60,762","61,354","60,758",3.16M,0.84%
2017-06-21,"60,762","60,783","61,188","60,544",3.38M,-0.01%
2017-06-20,"60,766","62,011","62,011","60,766",4.08M,-2.01%
2017-06-19,"62,014","61,620","62,272","61,620",2.84M,0.63%
2017-06-16,"61,626","61,911","61,921","61,269",5.25M,-0.48%
2017-06-14,"61,923","61,831","62,475","61,508",4.46M,0.15%
2017-06-13,"61,829","61,708","62,012","61,510",2.55M,0.21%
2017-06-12,"61,700","62,219","62,286","61,279",3.12M,-0.82%
2017-06-09,"62,211","62,755","63,066","62,095",3.20M,-0.87%
2017-06-08,"62,756","63,171","63,171","62,376",2.79M,-0.66%
2017-06-07,"63,171","62,955","63,637","62,912",2.98M,0.34%
